source_type,trade_id,signal_id,ticker,opened_at,closed_at,direction,entry_price,exit_price,realized_pnl,capital_at_risk,leverage,score_at_entry,archetype,signal_class,notes
PAPER_TRADE,PB_KRX_079550,,079550,2026-06-02,2026-06-04,LONG,726000.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_454910,,454910,2026-06-02,2026-06-04,LONG,166700.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KOSDAQ_394280,,394280,2026-06-02,2026-06-04,LONG,15140.0,,2.97,50,1.0,,,,TP1 +5% (50%) + runner 50% open +6.9%
PAPER_TRADE,PB_NASDAQ_TSLA,,TSLA,2026-06-03,2026-06-04,LONG,423.7,,-0.11,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_LON_SHEL,,SHEL,2026-06-03,2026-06-04,LONG,3270.0,,-1.13,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSEARCA_INDA,,INDA,2026-06-03,2026-06-04,LONG,47.36,,0.71,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSEARCA_EWG,,EWG,2026-06-03,2026-06-04,LONG,42.77,,0.97,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NSE_TCS,,TCS,2026-06-03,2026-06-04,LONG,2245.0,,-0.09,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_8002,,8002,2026-06-03,2026-06-04,LONG,4910.0,,0.08,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_5445,,5445,2026-06-03,2026-06-04,LONG,1799.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_3675,,3675,2026-06-03,2026-06-04,LONG,573.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_6877,,6877,2026-06-03,2026-06-04,LONG,6280.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_078930,,078930,2026-06-03,2026-06-04,LONG,76300.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_001800,,001800,2026-06-03,2026-06-04,LONG,26950.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_003240,,003240,2026-06-03,2026-06-04,LONG,919000.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_004890,,004890,2026-06-03,2026-06-04,LONG,37050.0,,0.47,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_004990,,004990,2026-06-03,2026-06-04,LONG,26100.0,,-1.72,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_009310,,009310,2026-06-03,2026-06-04,LONG,1065.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_016880,,016880,2026-06-03,2026-06-04,LONG,2015.0,,3.05,50,1.0,,,,TP1 +5% (50%) + runner 50% open +7.2%
PAPER_TRADE,PB_ETR_SIE,,SIE,2026-06-04,2026-06-04,LONG,276.2,,-0.93,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_7203,,7203,2026-06-04,2026-06-04,LONG,2881.0,,-0.35,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TSE_CNQ,,CNQ,2026-06-04,2026-06-04,LONG,66.0,,0.27,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSE_LHX,,LHX,2026-06-04,2026-06-04,LONG,302.19,,0.9,50,1.0,,,,OPEN (no TP; no stop)
